url,Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,Socials,Emails
https://www.houzz.com/professionals/interior-designers-and-decorators/monical-design-pfvwus-pf~847344418,Monical Design,(402) 660-7703,www.monicaldesign.com,"Papillion, NE 68046","$1,000 - 2,000,000",182 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL3BhZ2VzL0VsaXphYmV0aC1Nb25pY2FsLUludGVyaW9yLURlc2lnbi1MTEMvMTI4MTYxMDYxMTE0P3JlZj1obA/588f184e484f4ba0945d7533b108f7d5/ue/MTA2OTQ/6501325a241a03abb2ab1fdf43ff6411', 'Linkedin': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cubGlua2VkaW4uY29tL2luL2VsaXphYmV0aG1vbmljYWw/797796f71e27cbbf53c92dfa1751a9b0/ue/MTA2OTQ/6501325a241a03abb2ab1fdf43ff6411', 'my blog or other site': 'https://www.houzz.com/trk/V1dXLm1vbmljYWxkZXNpZ24uQ09N/cc3fa7faaa1598cac7d13ba3b3df82d6/ue/MTA2OTQ/6501325a241a03abb2ab1fdf43ff6411'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/seldin-company-pfvwus-pf~975303506,Seldin Company,(402) 547-3358,www.seldin.com,"2840 S. 123rd CourtOmaha, NE 68144",,9 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL3RpdHVzZGVzaWducw/b9b2f6e7e4ec036b16e98721dcd3a8be/ue/MzQwOTA2OTA/bbbab1abdbc08b8d0fc0e5542d9cfe09', 'Linkedin': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cubGlua2VkaW4uY29tL2luL21lbGlzc2EtdGl0dXMtODcwNzA2Njk/12023b535ed670918124881dd11943f6/ue/MzQwOTA2OTA/bbbab1abdbc08b8d0fc0e5542d9cfe09'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/ks-design-pfvwus-pf~881051593,KS Design,(402) 490-6906,,"Omaha, NE","$5,000 - 75,000",28 Followers,,
https://www.houzz.com/professionals/interior-designers-and-decorators/jh-interior-design-studio-pfvwus-pf~881432941,jh Interior Design Studio,(402) 934-3474,www.juliehockney.com,"721 N 98th StreetOmaha, NE 68114",,42 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2p1bGllaG9ja25leWRlc2lnbi8/ca3f65fbb737d7e3f03cf6fe726b8f49/ue/OTM0MjIxMw/85ec0a5c01e90b6c3a547d6a1cd8366b', 'my blog or other site': 'https://www.houzz.com/trk/d3d3Lmp1bGllaG9ja25leS5jb20/88229a4e9583d1e2d2b4d3c46c6fae09/ue/OTM0MjIxMw/85ec0a5c01e90b6c3a547d6a1cd8366b'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/elena-kerwin-pfvwus-pf~1451348564,elena kerwin,(402) 397-6100,utula.houzz.com,700 s 72 stomaha 68114,"$1,000 - 7 million",46 Followers,"{'Linkedin': 'https://www.houzz.com/trk/aHR0cDovL3d3dy5saW5rZWRpbi5jb20vcHViL2VsZW5hLWtlcndpbi1hbGxpZWQtbWVtYmVyLWFzaWQvMTMvMTI4LzgxMw/4e41972eb71a92b0a4a6fed02d729b75/ue/NjcxNDEy/9218a84c189c712d7569931a25307084', 'my blog or other site': 'https://www.houzz.com/trk/aHR0cDovL215YmxvZ2ctZWtlcndpbi5ibG9nc3BvdC5jb20v/ded38b7a8be9a77373b02ce80c27b5e4/ue/NjcxNDEy/9218a84c189c712d7569931a25307084'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/erica-bryant-design-pfvwus-pf~974018558,Erica Bryant Design,(402) 871-5359,www.ericabryantdesign.com/about/,"146 S. 126th Ave.Omaha, NE 68154","$50,000 - 800,00",15 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2VyaWNhYnJ5YW50ZGVzaWduLw/987c19c6810ab827a06082888476c775/ue/MTU4ODUzMTQ/1959b5cc8f70f9e5e9645626c11edf83', 'my blog or other site': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZXJpY2FicnlhbnRkZXNpZ24uY29tL2Fib3V0Lw/bea9ba0920f353ece16cf011801d9900/ue/MTU4ODUzMTQ/1959b5cc8f70f9e5e9645626c11edf83'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/knudson-interiors-pfvwus-pf~1476505667,Knudson Interiors,(808) 557-1876,knudsoninteriors.com,"Omaha, NE 68131","$300,000 - $1,000,000",836 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL0tudWRzb25JbnRlcmlvcnMvP3JlZj1wYWdlc195b3VfbWFuYWdl/a4e51198da8d895287232f90758ceee1/ue/Nzk0NjEx/9b4f55c0285bf602830b7cb5d4934939', 'my blog or other site': 'https://www.houzz.com/trk/aHR0cHM6Ly9rbnVkc29uaW50ZXJpb3JzLmNvbS8/9bae3b4e2ed7eaa1c0ebd17f68caf1f4/ue/Nzk0NjEx/9b4f55c0285bf602830b7cb5d4934939'}","knudsoninteriors@gmail.com,Iowa712-328-2222knudsoninteriors@gmail.com"
https://www.houzz.com/professionals/interior-designers-and-decorators/ellen-pandorf-interior-design-pfvwus-pf~1954821517,Ellen Pandorf Interior Design,(402) 312-4779,ellenpandorf.houzz.com,"Omaha, NE 68028",,113 Followers,{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL0VsbGVuLVBhbmRvcmYtSW50ZXJpb3ItRGVzaWduLTM1MjE3ODIyODIyNTc3NC8/73026583194209ecc49c88ad5875fdbc/ue/NTUyMjIxMw/7d530a6115274477851047e493667a9d'},
https://www.houzz.com/professionals/interior-designers-and-decorators/the-modern-hive-pfvwus-pf~151207487,The Modern Hive,(402) 981-3758,www.themodern-hive.com,".Omaha, NE 68106","$20,000 - 100,000",346 Followers,"{'Facebook': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL1RoZU1vZGVybkhpdmU/3a785fc936cc48a377c27d2cade6bba5/ue/MjQyMjgxMQ/bf28402027245c51472e1f464a9c4f61', 'X': 'https://www.houzz.com/trk/aHR0cHM6Ly90d2l0dGVyLmNvbS9UaGVNb2Rlcm5fSGl2ZQ/8211a54cd9b4907d8f6f359ecc0940f8/ue/MjQyMjgxMQ/bf28402027245c51472e1f464a9c4f61', 'Linkedin': 'https://www.houzz.com/trk/aHR0cDovL3d3dy5saW5rZWRpbi5jb20vcHViL2NvdXJ0bmV5LW90dGUtYWxsaWVkLWFzaWQvMmEvNDc4Lzc3MS8/4a8e3ef0876155ae8739d5d5ba695cca/ue/MjQyMjgxMQ/bf28402027245c51472e1f464a9c4f61', 'my blog or other site': 'https://www.houzz.com/trk/aHR0cDovL3d3dy50aGVtb2Rlcm4taGl2ZS5jb20/7f01b2af8b7dd7a1d0c73481060eb473/ue/MjQyMjgxMQ/bf28402027245c51472e1f464a9c4f61'}",
https://www.houzz.com/professionals/interior-designers-and-decorators/kimberly-cahoy-design-pfvwus-pf~662827540,Kimberly Cahoy Design,(402) 659-6912,www.kcahoydesign.com,"20330 Veterans DriveSuite #1Elkhorn, NE 68022","$100,000 - 300,000",59 Followers,"{'Linkedin': 'https://www.houzz.com/trk/aHR0cHM6Ly93d3cubGlua2VkaW4uY29tL2luL2tpbS1jYWhveS00NzAzYTkxMQ/e462272fc9ca1869b1721fc67ce7e9d8/ue/NTM5Mjc2/063f9be40ed2c10bf4039285278c4714', 'my blog or other site': 'https://www.houzz.com/trk/d3d3LmtjYWhveWRlc2lnbi5jb20/f8fa2bc0cf51ed64bd5fb395ee4c1b85/ue/NTM5Mjc2/063f9be40ed2c10bf4039285278c4714'}","info@kcahoydesign.com,659-6912info@kcahoydesign.com"
